Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Suite,Chrome 123.0.0.0,,,16-04-2024 16:08:34,16-04-2024 16:10:02,1m - 27.223s,PASSED
,,,,,,,
Test Cases/Login,Chrome 123.0.0.0,,,16-04-2024 16:08:35,16-04-2024 16:10:02,1m - 26.733s,PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,16-04-2024 16:08:36,16-04-2024 16:08:39,3.495s,PASSED
"navigateToUrl(""https://magento.softwaretestingboard.com/"")",Chrome 123.0.0.0,,,16-04-2024 16:08:39,16-04-2024 16:08:40,1.210s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Home Page/p_Toestemming""), OPTIONAL)",Chrome 123.0.0.0,,,16-04-2024 16:08:40,16-04-2024 16:09:15,34.548s,PASSED
"click(findTestObject(""Login/Page_Home Page/p_Consent""), OPTIONAL)",Chrome 123.0.0.0,,,16-04-2024 16:09:15,16-04-2024 16:09:53,38.608s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Home Page/a_Sign In""))",Chrome 123.0.0.0,,,16-04-2024 16:09:53,16-04-2024 16:09:56,2.566s,PASSED
"setText(findTestObject(""Object Repository/Login/Page_Customer Login/input_Email_loginusername""), ""vliegnaarhans@hotmail.com"")",Chrome 123.0.0.0,,,16-04-2024 16:09:56,16-04-2024 16:09:58,1.536s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login/Page_Customer Login/input_Password_loginpassword""), ""nD40eSJ02ggIAkzrLbYCRQ=="")",Chrome 123.0.0.0,,,16-04-2024 16:09:58,16-04-2024 16:09:58,0.618s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Customer Login/span_Sign In""))",Chrome 123.0.0.0,,,16-04-2024 16:09:58,16-04-2024 16:10:01,2.991s,PASSED
closeBrowser(),Chrome 123.0.0.0,,,16-04-2024 16:10:01,16-04-2024 16:10:02,0.505s,PASSED
